sector_id,sector_name,sector_type,parent_sector,stock_ids
bigdata_solutions,大數據:領域解決方案,finlab_sub,bigdata,"2308,2352,2390,2453,3057,4160,4953,5209,6112,6183,6218,6516,6561,6614,6689,6697,6739,6741,6791,6811,6865,6870,6906,6910,6925,6997,8099"
bigdata_s004,大數據:分析工具,finlab_sub,bigdata,"2390,2453,2480,3029,3057,4160,5209,6112,6183,6218,6561,6614,6689,6739,6741,6811,6865,6870,6906,6910,6925,6997,7747,7822,8099"
bigdata_consult,大數據:顧問諮詢,finlab_sub,bigdata,"2308,2390,2453,2480,3029,3057,4160,5209,6112,6183,6218,6614,6689,6697,6739,6741,6811,6865,6870,6910,6925,6997,7547,8099"
bigdata_cloudplat,大數據:雲端平台,finlab_sub,bigdata,"2352,2390,2480,2495,3029,3057,4904,5209,6112,6183,6218,6561,6614,6689,6697,6811,6865,6906,6925,6997,7547,7747,8099"
bigdata_s007,大數據:資料庫,finlab_sub,bigdata,"2390,2453,2471,2480,3057,4160,5209,6112,6183,6218,6561,6614,6689,6739,6741,6811,6865,6906,6925,6997,7747,7822"
bigdata_s008,大數據:儲存處理,finlab_sub,bigdata,"2390,2453,2480,2495,3029,3057,5209,6112,6183,6218,6561,6614,6689,6811,6865,6906,6997,8054"
bigdata_s009,大數據:運算元件與設備,finlab_sub,bigdata,"2308,2390,2480,2495,3029,3057,3135,5209,6112,6183,6218,6263,6561,6865"
blockchain_s001,區塊鏈:元件裝置,finlab_sub,blockchain,"2399,3515,6150"
blockchain_s002,區塊鏈:商業應用,finlab_sub,blockchain,"2453,2480,2498"
blockchain_s003,區塊鏈:交易平台,finlab_sub,blockchain,"2453,2480"
blockchain_s004,區塊鏈:監控管理,finlab_sub,blockchain,"2453,6277"
blockchain_sysint,區塊鏈:系統整合,finlab_sub,blockchain,"2453,6277"
blockchain_s006,區塊鏈:開發工具,finlab_sub,blockchain,"2453,2498"
blockchain_baas,區塊鏈:BaaS,finlab_sub,blockchain,2453
blockchain_s008,區塊鏈:創投,finlab_sub,blockchain,2453
blockchain_s009,區塊鏈:媒體推廣,finlab_sub,blockchain,2453
blockchain_s010,區塊鏈:底層平台,finlab_sub,blockchain,2453
blockchain_s011,區塊鏈:資安審計,finlab_sub,blockchain,2453
blockchain_s012,區塊鏈:錢包_資產管理,finlab_sub,blockchain,2453
blockchain_s013,區塊鏈:領域方案,finlab_sub,blockchain,2453
blockchain_consult,區塊鏈:顧問諮詢,finlab_sub,blockchain,2453
cement_s001,水泥:水泥成品,finlab_sub,cement,"1101,1103,1104,1108,1109,1110,8463"
cement_s002,水泥:預拌混凝土,finlab_sub,cement,"1101,1104,1108,1109,2504,5520"
cement_s003,水泥:水泥熟料,finlab_sub,cement,"1101,1102,1108,1109,8463"
cement_s004,水泥:水泥生料,finlab_sub,cement,"1101,1108,1109,8463"
cement_s005,水泥:石灰石,finlab_sub,cement,"1101,1108,1109"
chem_s001,石化及塑橡膠:塑膠製品,finlab_sub,chem,"1301,1305,1307,1309,1310,1312,1315,1316,1319,1321,1323,1324,1325,1326,1337,1339,1340,1402,1410,1434,1712,1730,1735,1776,2351,3311,3642,4303,4304,4305,4306,4714,4935,5356,6235,6508,6585,8935,9939,9950"
chem_s002,石化及塑橡膠:接著劑(合成樹脂),finlab_sub,chem,"1711,1717,1721,1735,1773,1776,4711,4714,4720,4739,4766,4767,5234,6506"
chem_s003,石化及塑橡膠:工業用合成樹脂,finlab_sub,chem,"1304,1308,1314,1717,1721,1725,1727,1735,1776,4716,4764,4770,5234"
chem_s004,石化及塑橡膠:橡膠製品,finlab_sub,chem,"2102,2103,2105,2106,2107,2108,2109,2114,2115,3311,3642,5102,6582"
chem_pta,石化及塑橡膠:PTA(對苯二甲酸)觸媒,finlab_sub,chem,"1314,1326,1402,1725,1727,4721,4739"
chem_s006,石化及塑橡膠:顏染料,finlab_sub,chem,"1711,1724,3430,4702,4706,4741,6509"
chem_s007,石化及塑橡膠:人造纖維,finlab_sub,chem,"1301,1303,1326,1409,4303,4714"
chem_s008,石化及塑橡膠:橡塑膠添加劑,finlab_sub,chem,"1711,1721,1725,2104,3430,4764"
chem_s009,石化及塑橡膠:清潔用品,finlab_sub,chem,"1730,1731,1732,6504,6509,9919"
chem_s010,石化及塑橡膠:界面活性劑,finlab_sub,chem,"1709,1714,1725,1727,4707"
chem_s011,石化及塑橡膠:石化上游原料及相關鑽探設備,finlab_sub,chem,"1303,1723,1724,6505"
chem_s012,石化及塑橡膠:肥料,finlab_sub,chem,"1708,1712,1722,6508"
chem_s013,石化及塑橡膠:農藥,finlab_sub,chem,"1712,6508,6509,6534"
chem_s014,石化及塑橡膠:化妝品,finlab_sub,chem,"1737,1760,6504,9919"
chem_s015,石化及塑橡膠:塑化劑(可塑劑),finlab_sub,chem,1313
cloud_sysint,雲端運算:系統整合,finlab_sub,cloud,"1229,2301,2308,2352,2390,2453,2471,2480,2495,3029,3057,4953,6112,6123,6140,6148,6218,6221,6263,6277,6561,6614,6689,6697,6739,6741,6752,6811,6865,6870,6910,6925,6997,7547,7714,7765,8099,8374"
cloud_saas,雲端運算:SaaS,finlab_sub,cloud,"2301,2308,2390,2395,2480,2495,3029,3057,3632,4904,6112,6123,6221,6263,6561,6614,6689,6697,6708,6741,6752,6791,6865,6870,6910,6925,7547,7713,7714,7747,7765,8099"
cloud_consult,雲端運算:顧問諮詢,finlab_sub,cloud,"2301,2308,2390,2480,3029,3057,6112,6123,6140,6218,6221,6561,6614,6689,6697,6739,6741,6752,6811,6865,6870,6910,6925,6997,7547,7714,7765,8099,8374"
cloud_iaas,雲端運算:IaaS,finlab_sub,cloud,"2301,2390,2395,2480,2495,3029,3057,4904,6112,6123,6221,6263,6561,6614,6689,6697,6752,6811,6865,6870,6997,7547,7747,8099"
cloud_paas,雲端運算:PaaS,finlab_sub,cloud,"2301,2390,2395,2480,3029,3057,4904,6112,6123,6221,6263,6561,6689,6697,6708,6739,6752,6811,6865,6870,6910,7547,8099"
cloud_virtualize,雲端運算:虛擬化軟體,finlab_sub,cloud,"2390,2480,3029,3057,6112,6123,6140,6218,6221,6614,6689,6697,6739,6741,6752,6811,6865,6910,6997,7747,8099,8374"
cloud_install,雲端運算:設備安裝服務,finlab_sub,cloud,"2301,2308,2390,2453,2480,3029,3057,6112,6123,6140,6218,6221,6561,6614,6739,6752,6811,6865,6910,7765,8099"
cloud_s008,雲端運算:營運管理軟體,finlab_sub,cloud,"2390,2480,3057,6112,6123,6140,6263,6614,6689,6739,6741,6752,6811,6865,6910,6997,7547,7714,7765,8099,8374"
cloud_server,雲端運算:伺服器,finlab_sub,cloud,"2308,2352,2382,2390,2480,2495,3029,3057,3706,5223,6112,6221,6263,6614,6669,6680,6752,7805,8210,8277"
cloud_mgmtsw,雲端運算:設備管理軟體,finlab_sub,cloud,"2308,2390,2480,3029,3057,6112,6140,6218,6221,6263,6614,6739,6741,6752,6811,6865,7714,7747,8099,8374"
cloud_secsw,雲端運算:資安防護軟體,finlab_sub,cloud,"2390,2480,3029,3057,6112,6123,6140,6218,6221,6614,6689,6741,6752,6811,6865,6997,7714,7747,7765,8099"
cloud_appservice,雲端運算:雲端應用服務,finlab_sub,cloud,"2301,2390,2395,2480,3029,3057,4904,6112,6123,6221,6263,6561,6689,6697,6752,6865,6870,7547,8099"
cloud_storage,雲端運算:儲存,finlab_sub,cloud,"2382,2390,2480,2495,3029,3057,3706,5223,6112,6221,6263,6614,6680,6752,7765,7805,8054,8277"
cloud_network,雲端運算:網路,finlab_sub,cloud,"2352,2382,2390,2480,3029,3057,3380,5223,6112,6221,6263,6614,6680,6752,7765,7805,8277"
cloud_cloudos,雲端運算:雲端作業系統,finlab_sub,cloud,"2390,2480,3029,3057,3632,6112,6123,6218,6614,6689,6741,6752,6811,6865,6997,7747,8099"
cloud_hardware,雲端運算:電腦設備,finlab_sub,cloud,"2382,2390,2480,3029,3057,5223,6112,6221,6263,6614,6680,6752,7805,8277"
cloud_power,雲端運算:電力設備,finlab_sub,cloud,"2301,2308,2390,2459,4931,5536,6752"
cloud_cooling,雲端運算:冷卻設備,finlab_sub,cloud,"2301,2308,2390,5223,5536,6752"
cogen_s001,汽電共生:電纜,finlab_sub,cogen,"1612,1615,1618,1623"
cogen_s002,汽電共生:配電系統,finlab_sub,cogen,"1514,1519"
cogen_s003,汽電共生:營造設置,finlab_sub,cogen,"8926,9933"
cogen_s004,汽電共生:變壓器,finlab_sub,cogen,1519
cogen_sysint,汽電共生:系統整合,finlab_sub,cogen,6192
cogen_s006,汽電共生:設備維護,finlab_sub,cogen,6192
cogen_s007,汽電共生:發電營運,finlab_sub,cogen,8926
connector_s001,連接器:連接器設計、組裝及製造,finlab_sub,connector,"2317,2352,2392,2459,2460,2462,2483,3003,3011,3021,3023,3114,3217,3322,3419,3432,3492,3501,3511,3520,3526,3533,3597,3605,3646,3665,3689,3710,4943,5398,5457,5460,6115,6126,6133,6158,6165,6185,6197,6205,6217,6272,6279,6290,6418,6835,6913,8103,8147"
connector_s002,連接器:塑膠材料,finlab_sub,connector,"2476,3010,3665,4755,6151,8240"
connector_s003,連接器:金屬材料,finlab_sub,connector,"1617,2476,3310"
connector_s004,連接器:電鍍材料,finlab_sub,connector,"2476,8431"
construct_s001,建材營造:建設業,finlab_sub,construct,"1103,1402,1416,1436,1438,1439,1442,1453,1513,1532,1605,1805,1808,2020,2424,2442,2501,2505,2506,2509,2511,2514,2515,2520,2524,2527,2528,2530,2534,2535,2536,2537,2538,2539,2542,2545,2547,2548,2596,2718,2841,2910,2923,3052,3056,3188,3252,3266,3310,3313,3489,3512,3703,4113,4416,4714,4907,5206,5213,5324,5455,5508,5512,5514,5519,5522,5523,5525,5529,5530,5531,5533,6171,6177,6186,6198,6212,6219,6264,8905,9906,9945,9946"
construct_s002,建材營造:營造業,finlab_sub,construct,"1472,2511,2515,2516,2535,2543,2546,2597,3703,5511,5515,5516,5519,5521,5547,5548,6264,8936,9945"
construct_s003,建材營造:建材原料,finlab_sub,construct,"1603,1612,1802,1806,1809,1810,1817,2020,2504,2597,3149,3388,5515,5534,5543,6228,8424,8463,8930"
construct_s004,建材營造:工程承攬,finlab_sub,construct,"1402,1472,1603,2511,2527,2535,3052,3703,5536,6122,6179,6228,8383,9917,9933,9958"
construct_s005,建材營造:機電工程,finlab_sub,construct,"1472,1503,1504,2308,2371,2597,3018,5536,6122,6228,8383,9945"
construct_s006,建材營造:物業管理,finlab_sub,construct,"1513,2371,2511,2923,9917,9945"
construct_s007,建材營造:結構工程,finlab_sub,construct,"1472,2010,2031,2597,9945"
construct_s008,建材營造:工程設計,finlab_sub,construct,"2597,5536,6228,8383,9945"
construct_s009,建材營造:裝潢業,finlab_sub,construct,"2597,5314,6228,6754,9945"
construct_s010,建材營造:基礎工程,finlab_sub,construct,"2031,2597,8080"
construct_s011,建材營造:個人、民間企業、政府機構,finlab_sub,construct,"1809,8942"
creative_s001,文化創意業:數位內容產業,finlab_sub,creative,"2498,3064,3083,3086,3293,3546,3629,4803,4946,5263,5478,6111,6169,6180,6294,6482,6908,7584,8489"
creative_s002,文化創意業:廣播電視_電影產業,finlab_sub,creative,"2498,4803,4806,6144,6184,6856,8454,8487,9928"
creative_s003,文化創意業:流行音樂及文化內容產業,finlab_sub,creative,"2498,6101,6596,6625,6856,8446,8450"
creative_s004,文化創意業:創意生活產業,finlab_sub,creative,"2926,3629,4154"
creative_s005,文化創意業:其他,finlab_sub,creative,"4154,5481,6908"
creative_s006,文化創意業:工藝產業,finlab_sub,creative,"4154,9949"
creative_s007,文化創意業:出版產業,finlab_sub,creative,8923
cybersec_s001,資通訊安全:網路基礎設施,finlab_sub,cybersec,"2352,2397,2480,3029,3564,3664,3704,6112,6163,6183,6218,6263,6530,6614,6690,6697,6752,6865,7714,7747,7765,9917"
cybersec_s002,資通訊安全:網路安全防護,finlab_sub,cybersec,"2480,3029,3704,6112,6163,6183,6218,6277,6561,6614,6690,6697,6752,6865,7714,7747,7765,8272,9917"
cybersec_s003,資通訊安全:資料安全,finlab_sub,cybersec,"2471,2480,3029,6112,6183,6218,6263,6590,6689,6690,6697,6752,6865,7714,7747,7765,8272,8277"
cybersec_s004,資通訊安全:端點安全防護,finlab_sub,cybersec,"2471,2480,3029,6112,6163,6183,6218,6462,6690,6697,6752,6865,7714,7747,7765,8272,9917"
cybersec_cloudsec,資通訊安全:雲端安全,finlab_sub,cybersec,"2480,3029,6112,6163,6183,6218,6561,6614,6689,6690,6752,6865,7714,7747,7765,8272,8277"
cybersec_s006,資通訊安全:資安顧問服務,finlab_sub,cybersec,"2453,2480,3029,6112,6163,6183,6614,6689,6690,6697,6752,6865,7714,7747,7765,9917"
cybersec_s007,資通訊安全:物聯網安全,finlab_sub,cybersec,"2480,3029,6112,6163,6183,6218,6263,6690,6752,6865,7714,7747,7765,8272,9917"
cybersec_s008,資通訊安全:網頁內容安全,finlab_sub,cybersec,"2480,3029,6112,6163,6183,6218,6561,6689,6690,6752,6865,7714,7747,7765,8277"
cybersec_s009,資通訊安全:身分認證與訪問管理,finlab_sub,cybersec,"2480,3029,6112,6183,6218,6462,6614,6690,6752,6865,7714,7747,7765,8272,8277"
cybersec_s010,資通訊安全:資安防護能力分析與鑑識服務,finlab_sub,cybersec,"2480,3029,6112,6163,6183,6614,6690,6697,6752,6865,7714,7765,9917"
cybersec_s011,資通訊安全:安全營運與事件回應,finlab_sub,cybersec,"2480,3029,6112,6183,6218,6690,6739,6752,6865,7714,7747,7765"
cybersec_s012,資通訊安全:行動安全,finlab_sub,cybersec,"2480,3029,3704,6112,6183,6218,6690,6752,6865,7714,7765,8272"
cybersec_s013,資通訊安全:資安營運管理服務,finlab_sub,cybersec,"2352,3029,6112,6183,6690,6697,6752,6865,7714,7765,9917"
cybersec_s014,資通訊安全:資安治理,finlab_sub,cybersec,"2480,6112,6163,6183,6690,6752,6865,7714,7765"
display_s001,平面顯示器:其他零組件,finlab_sub,display,"2308,2352,2392,2421,2429,2459,2476,2478,2483,3010,3023,3051,3311,3419,3504,3543,3679,4938,4942,4960,5243,5460,6120,6192,6205,6224,6282,6405,6577,6829,8101,8163,8215,8383"
display_s002,平面顯示器:生產製程及檢測設備,finlab_sub,display,"1595,2360,2467,3455,3498,3535,3551,3583,4770,5443,5489,5536,6125,6234,6277,6425,6438,6613,6667,6725,6877,6937,7631,7703,7730,8064,8374"
display_dspmod,平面顯示器:顯示器模組,finlab_sub,display,"2371,2393,2485,3024,3038,3168,4995,5245,5315,5386,5432,6116,6120,6167,6189,6278,6916,8049,8085,8104,8105"
display_s004,平面顯示器:面板,finlab_sub,display,"2371,2409,2459,3038,3481,5245,5315,6116,6189,6278,6916,8069,8104,8105"
display_s005,平面顯示器:監視器_顯示器,finlab_sub,display,"1614,2352,2371,2489,3024,3128,3434,3541,4995,5493,6120,9912"
display_s006,平面顯示器:化學品(如光阻劑、靶材等),finlab_sub,display,"1711,1773,1785,3010,3663,4720,4722,4749,4755,4768,4772,5234"
display_s007,平面顯示器:背光源(發光二極體、冷陰極管),finlab_sub,display,"2393,2486,2499,3031,3090,3437,3516,3536,6168,6246,8070"
display_s008,平面顯示器:擴散膜、增亮膜、導光板,finlab_sub,display,"1717,2371,3388,3685,4933,4935,6120,8070,8240"
display_s009,平面顯示器:背光模組,finlab_sub,display,"2371,3531,5371,6120,6176,6246,6278,6577,8085"
display_s010,平面顯示器:塑膠框,finlab_sub,display,"1336,2371,3294,5243,6120,6246,6577"
display_s011,平面顯示器:電視,finlab_sub,display,"1604,1614,2324,2371,2489,3541,5356"
display_s012,平面顯示器:稜鏡片,finlab_sub,display,"3504,3523,3666,4933,8240"
display_ic,平面顯示器:驅動IC,finlab_sub,display,"2459,3444,6147,8070"
display_s014,平面顯示器:電子書,finlab_sub,display,"6143,8069"
display_notebook,平面顯示器:筆記型電腦,finlab_sub,display,2371
display_ito,平面顯示器:ITO導電基板,finlab_sub,display,3615
ecommerce_s001,電子商務:資訊系統建置服務,finlab_sub,ecommerce,"2352,2949,5478,6183,6590,6741,6870,6910,6925,7721,7765,7782,8044,8284"
ecommerce_s002,電子商務:行銷廣告服務,finlab_sub,ecommerce,"2949,3085,3130,5287,6404,6590,6741,6870,6925,7722,7782,8044,8284"
ecommerce_s003,電子商務:資料分析處理服務,finlab_sub,ecommerce,"2352,2949,6183,6590,6614,6741,6870,6925,7721,7765,8044,8284"
ecommerce_s004,電子商務:資訊聚合,finlab_sub,ecommerce,"2352,3130,5278,5287,6590,6614,6741,6870,6925,7721,8044,8284"
ecommerce_s005,電子商務:一般零售,finlab_sub,ecommerce,"2949,3085,6220,6590,6703,6856,7782,8044,8454,8472,8477"
ecommerce_s006,電子商務:金流串接處理服務,finlab_sub,ecommerce,"2949,3687,5478,6183,6590,6741,6763,6870,7721,7722,8044"
ecommerce_s007,電子商務:自有產品(服務)銷售,finlab_sub,ecommerce,"3085,5321,5478,6220,6277,6590,6614,6703,7782"
ecommerce_s008,電子商務:交易撮(媒)合,finlab_sub,ecommerce,"2640,5278,5287,6590,6614,6741"
ecommerce_s009,電子商務:店點開設管理,finlab_sub,ecommerce,"2949,6590,6741,6870,8044,8454"
ecommerce_s010,電子商務:票券銷售,finlab_sub,ecommerce,"6590,7722,8044,8454,8472"
ecommerce_s011,電子商務:物流倉儲服務,finlab_sub,ecommerce,"2949,3085,8044,8454"
energycomp_s001,能源元件:電池模組,finlab_sub,energycomp,"2308,2360,2439,2459,3015,3026,3211,3323,3625,4931,5309,5543,6121,6278,6441,6509,8038,8109,8171"
energycomp_s002,能源元件:原材料,finlab_sub,energycomp,"1589,1723,2352,3010,3388,3665,4739,5227,5234,6278,6509,8038,8215,8261"
energycomp_s003,能源元件:電池芯,finlab_sub,energycomp,"2308,2360,6278,6509,6558,8038"
ev_s001,電動車輛產業:大功率鋰電池芯_模組、電池管理系統、動力馬達等零組件,finlab_sub,ev,"1503,1504,1519,1533,1536,1537,1605,2066,2106,2207,2301,2308,2317,2360,2371,2376,2392,2401,2421,2457,2459,2483,3003,3015,3023,3058,3211,3310,3323,3501,3625,3665,4503,4535,4931,5439,5457,6121,6138,6202,6275,6278,6282,6509,7744,7788,8038,8109,8171,8183,8255,8349"
ev_s002,電動車輛產業:鋰電池材料,finlab_sub,ev,"1605,1611,1723,2308,2352,2371,3010,4721,4739,5227,5234,6278,8038,8215,8358"
ev_s003,電動車輛產業:電動汽車、電動機車、電動自行車,finlab_sub,ev,"1599,2207,2308,3015,4952,5227,5457,6202,6278,8261,8933,8937,9914"
exptech_s001,體驗科技:其他,finlab_sub,exptech,"2340,2498,3227,3293,5263,5351,5371,6204,6811"
exptech_s002,體驗科技:環境感知,finlab_sub,exptech,"2301,2340,3227,5351,6204,6271,6742"
exptech_s003,體驗科技:深度感測,finlab_sub,exptech,"2301,2340,3227,5351,6204,6742"
exptech_s004,體驗科技:視覺,finlab_sub,exptech,"2301,2340,3227,5351,6204,6742"
exptech_s005,體驗科技:手勢_動作,finlab_sub,exptech,"2301,2340,3227,5351,6204"
exptech_s006,體驗科技:工作流程引導,finlab_sub,exptech,"2498,3293,5263,6614,6811"
exptech_sysint,體驗科技:系統整合,finlab_sub,exptech,"5263,6263,6614,6811,8099"
exptech_slam,體驗科技:SLAM,finlab_sub,exptech,"2340,3227,5351,6204"
exptech_s009,體驗科技:使用者感知,finlab_sub,exptech,"2340,3227,5351,6204"
exptech_it,體驗科技:IT服務,finlab_sub,exptech,"5263,6263,6811,8099"
exptech_s011,體驗科技:資服,finlab_sub,exptech,"5263,6263,6811,8099"
exptech_s012,體驗科技:光學元件_模組,finlab_sub,exptech,"2459,5371,6742"
exptech_s013,體驗科技:地圖,finlab_sub,exptech,"2498,3293,5263"
exptech_s014,體驗科技:培訓,finlab_sub,exptech,"2498,3293,5263"
exptech_s015,體驗科技:應用軟體_內容,finlab_sub,exptech,"2498,3293,5263"
exptech_s016,體驗科技:會議,finlab_sub,exptech,"2498,3293,5263"
exptech_s017,體驗科技:遊戲,finlab_sub,exptech,"2498,3293,5263"
exptech_s018,體驗科技:觸覺,finlab_sub,exptech,"3227,5351,6204"
exptech_odmoem,體驗科技:ODM_OEM,finlab_sub,exptech,"2392,5371"
exptech_lightengine,體驗科技:微型顯示器_光機引擎(Light Engine),finlab_sub,exptech,"2459,5371"
exptech_arsmartglasses,體驗科技:AR Smart Glasses,finlab_sub,exptech,"2498,5351"
exptech_mrheadsetsg,體驗科技:MR Headset & SG,finlab_sub,exptech,"2498,5351"
exptech_vrheadset,體驗科技:VR Headset,finlab_sub,exptech,"2498,5351"
exptech_s024,體驗科技:頭顯裝置品牌廠,finlab_sub,exptech,"2498,5351"
exptech_ic,體驗科技:IC,finlab_sub,exptech,"3227,5351"
exptech_s026,體驗科技:垂直應用方案,finlab_sub,exptech,"5263,5371"
exptech_s027,體驗科技:安防,finlab_sub,exptech,"5263,5371"
exptech_s028,體驗科技:物流,finlab_sub,exptech,"5263,5371"
exptech_s029,體驗科技:製造,finlab_sub,exptech,"5263,5371"
exptech_s030,體驗科技:醫療,finlab_sub,exptech,"5263,5371"
exptech_s031,體驗科技:重工業,finlab_sub,exptech,"5263,5371"
exptech_s032,體驗科技:感測器_模組,finlab_sub,exptech,"5351,6204"
exptech_s033,體驗科技:語音,finlab_sub,exptech,"5351,6204"
exptech_s034,體驗科技:電池模組,finlab_sub,exptech,2308
exptech_s035,體驗科技:散熱元件_模組,finlab_sub,exptech,2421
exptech_3d,體驗科技:3D工具,finlab_sub,exptech,2498
exptech_qualcommxrplatform,體驗科技:Qualcomm XR Platform,finlab_sub,exptech,2498
exptech_s038,體驗科技:內容管理與創建,finlab_sub,exptech,2498
exptech_s039,體驗科技:工作流程創建,finlab_sub,exptech,2498
exptech_s040,體驗科技:技術標準_聯盟,finlab_sub,exptech,2498
exptech_s041,體驗科技:硬體開發工具,finlab_sub,exptech,2498
exptech_s042,體驗科技:軟體開發工具,finlab_sub,exptech,2498
exptech_cpu,體驗科技:CPU,finlab_sub,exptech,5351
exptech_gpu,體驗科技:GPU,finlab_sub,exptech,5351
exptech_hpu,體驗科技:HPU,finlab_sub,exptech,5351
exptech_soc,體驗科技:SoC,finlab_sub,exptech,5351
exptech_ic_2,體驗科技:處理器_IC,finlab_sub,exptech,5351
exptech_lcos,體驗科技:LCoS,finlab_sub,exptech,5371
exptech_microled,體驗科技:Micro LED,finlab_sub,exptech,5371
exptech_oled,體驗科技:OLED,finlab_sub,exptech,5371
exptech_dear_eyedisplay,體驗科技:近眼顯示(Dear-Eye Display),finlab_sub,exptech,5371
exptech_s052,體驗科技:顯示技術,finlab_sub,exptech,5371
exptech_s053,體驗科技:顧問,finlab_sub,exptech,6614
finance_s001,金融:金控業_銀行業_保險業,finlab_sub,finance,"2514,2801,2809,2812,2816,2820,2823,2832,2834,2836,2838,2845,2849,2850,2851,2852,2867,2880,2881,2882,2883,2884,2885,2886,2887,2888,2889,2890,2891,2892,2897,5820,5876,5878,5880,6028"
finance_s002,金融:證券業,finlab_sub,finance,"2812,2834,2838,2855,2856,5864,6005,6015,6016,6020,6021,6026"
finance_s003,金融:租賃業,finlab_sub,finance,"1103,2812,2834,5871"
finance_s004,金融:期貨業,finlab_sub,finance,"6023,6024"
fintech_payment,金融科技:支付,finlab_sub,fintech,"2453,5478,6590,6741,6763,6870,7722,7738"
fintech_s002,金融科技:數據分析,finlab_sub,fintech,"2453,2480,6614,6741,6865,6870,6910,7714"
fintech_s003,金融科技:監理法遵,finlab_sub,fintech,"2453,2471,6614,6865,6910"
fintech_s004,金融科技:資料聚合,finlab_sub,fintech,"2453,2480,6741,6865,6870"
